Const,Your Rating,Date Rated,Title,Directors,Actors,Country,Year,Genres,Douban Rating,Num Votes,MyComment,URL,Cover URL,douban_id
tt4154796,4,2019-05-03,复仇者联盟4：终局之战,"安东尼·罗素, 乔·罗素","小罗伯特·唐尼, 克里斯·埃文斯, 克里斯·海姆斯沃斯",美国,2019,"剧情, 动作, 科幻",8.5,1134527,,https://movie.douban.com/subject/26100958/,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2550755859.jpg,26100958
tt0437086,4,2019-03-07,阿丽塔：战斗天使,罗伯特·罗德里格兹,"罗莎·萨拉查, 克里斯托弗·瓦尔兹, 基恩·约翰逊",美国 日本 加拿大,2019,"动作, 科幻, 冒险",7.5,631569,,https://movie.douban.com/subject/1652592/,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2535922184.jpg,1652592
tt7362036,4,2018-07-09,我不是药神,文牧野,"徐峥, 王传君, 周一围",中国大陆,2018,"剧情, 喜剧",9.0,2303363,,https://movie.douban.com/subject/26752088/,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2561305376.jpg,26752088
tt4881806,4,2018-06-22,侏罗纪世界2,J·A·巴亚纳,"克里斯·帕拉特, 布莱丝·达拉斯·霍华德, 贾斯蒂斯·史密斯",美国,2018,"动作, 科幻, 冒险",6.6,399620,,https://movie.douban.com/subject/26416062/,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2522069454.jpg,26416062
tt5294966,4,2018-06-19,比海更深,是枝裕和,"阿部宽, 真木阳子, 小林聪美",日本,2016,"剧情, 家庭",8.7,233515,,https://movie.douban.com/subject/26694988/,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2454274023.jpg,26694988
tt4901306,5,2018-06-04,完美陌生人,保罗·杰诺维塞,"马可·贾利尼, 卡夏·斯穆特尼亚克, 爱德华多·莱奥",意大利,2016,"剧情, 喜剧",8.5,539984,,https://movie.douban.com/subject/26614893/,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2522331945.jpg,26614893
tt2798920,3,2018-06-02,湮灭,亚历克斯·加兰,"娜塔莉·波特曼, 詹妮弗·杰森·李, 吉娜·罗德里格兹",美国 英国,2018,"剧情, 科幻, 惊悚",7.2,382333,,https://movie.douban.com/subject/26384741/,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2516914607.jpg,26384741
tt5463162,4,2018-05-21,死侍2：我爱我家,大卫·雷奇,"瑞安·雷诺兹, 乔什·布洛林, 朱利安·丹尼森",美国,2018,"喜剧, 动作, 科幻",7.3,468329,《死侍2》也招來一堆人，…………还好沒有《正义联盟》的问题,https://movie.douban.com/subject/26588308/,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2545479945.jpg,26588308
tt0468569,5,2018-05-17,蝙蝠侠：黑暗骑士,克里斯托弗·诺兰,"克里斯蒂安·贝尔, 希斯·莱杰, 艾伦·艾克哈特",美国 英国,2008,"剧情, 动作, 科幻",9.2,1166152,,https://movie.douban.com/subject/1851857/,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p462657443.jpg,1851857
tt4857264,5,2018-05-16,看不见的客人,奥里奥尔·保罗,"马里奥·卡萨斯, 阿娜·瓦格纳, 何塞·科罗纳多",西班牙,2016,"剧情, 悬疑, 惊悚",8.8,1407967,,https://movie.douban.com/subject/26580232/,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2498971355.jpg,26580232
tt1677720,5,2018-05-15,头号玩家,史蒂文·斯皮尔伯格,"泰伊·谢里丹, 奥利维亚·库克, 本·门德尔森",美国,2018,"动作, 科幻, 冒险",8.6,1488411,,https://movie.douban.com/subject/4920389/,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2516578307.jpg,4920389
tt4154756,4,2018-05-12,复仇者联盟3：无限战争,"安东尼·罗素, 乔·罗素","小罗伯特·唐尼, 克里斯·埃文斯, 克里斯·海姆斯沃斯",美国,2018,"动作, 科幻, 奇幻",8.1,813957,大家好，我是灭霸！我带着无限手套来中国的时候，无限手套被中国海关查扣了，目前急需225元税金把无限手套赎回来！如果你愿意打给我225元，我可以保证5月11日当天打响指的时候，你和家人都安然无恙！,https://movie.douban.com/subject/24773958/,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2516481762.jpg,24773958
tt2953762,3,2018-05-10,我是欧嘉,"彼得·卡兹达, 托马斯·韦恩莱伯","米哈利娜·奥利尚斯卡, 马丁·佩奇拉特, 克拉拉·梅丽斯科娃",捷克,2016,"剧情, 同性, 传记",7.0,1635,,https://movie.douban.com/subject/25813315/,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2317841337.jpg,25813315
tt7479784,4,2018-05-10,血观音,杨雅喆,"惠英红, 吴可熙, 文淇",中国台湾,2017,"剧情, 悬疑",8.6,537352,,https://movie.douban.com/subject/27113517/,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2561016941.jpg,27113517
tt8119752,3,2018-05-09,昆池岩,郑范识,"魏嘏隽, 朴智贤, 吴雅妍",韩国,2018,恐怖,6.3,208528,,https://movie.douban.com/subject/26945085/,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2513360824.jpg,26945085
tt5052448,4,2017-04-24,逃出绝命镇,乔丹·皮尔,"丹尼尔·卡卢亚, 艾莉森·威廉姆斯, 凯瑟琳·基纳",美国,2017,"悬疑, 惊悚, 恐怖",7.8,430091,,https://movie.douban.com/subject/26688480/,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2508604641.jpg,26688480
